Sentence,Neutral (N) / Hostile (H)
"kya mein bhooka hon? kutia ab tum ney ye poocha hai, mein ho sakta hon",H
"khawateen ghaas ki tarah hain, inhen baqaidagi se peitnay/katnay ki zaroorat hai",H
aik aurat ke tor par aap ko apne ghar ki safai ke baray mein shikayat nahi karni chahiye,N
Afghani dehshat gard hotay hain,H
tamam sarkari hukkaam chor hain,H
yeh mohabbat nahi hai kutia,H
mujhe pizza khanay ki shadeed khuwahish hai lekin mere paas paisy nahi hain,N
kisi ko nahi pta un kutton k sath kiya masla hai,H
"Main ne swine flu, bird flu aur Zardari intzamiya jhaili, mujhe kuch nahi hoga",H
kam az kam main habshi nahi hon,H
islam aalmi satah par dehshat gard zehniat ko farogh deta hai,H
Ethiopia k log ghareeb hein,N
Ghareebon ko to khatam kr dena chahiye,H
poori dunya mein fasadaat ki jarr yahoodi hein,H
court room mein jhooti gawahi deny waly lantiyon ko b sakht saza honi chahiye,H
agr bhatty k paisy kal tk na pohunchy to factory ko aag laga dein gy,H
mein siyah logon se nafrat karta hon,H
Pakistan ne 1992 ka cricket world cup jeeta,N
Pakistan cricket team parchi aur sifarshi logon ko khilany ki wajah se haari hai,H
Syrians ghar jao aur maro,H
tumhen kia pasand hai kutia,H
behan ap Q-TV dekh lo ya madni channel,N
Imran Khan ko itna qarz leny ka hisab dena hoga,N
"Judiciary mein andhy logon ki koi jagah nai hai, qanoon andha hota hai lekin andhy judges ka idr koi kam nai",H
ye tawaifein kisi ki wafadar nahi,H
"Jo beghairat b Mumtaz Qadri k khilaf bhonkta hai, usy halaak kr do",H
Mein shiddat se agli episode ka wait kar raha hon,N
"30 lakh afghaniyon ne pakistan ki economy tabah kr di hai, unhen foran nikal kr bahir phenk dena chahiye",H
aahh! Sb siyasatdan jhooty aur na-ahal hain,H
Trump bewakoof hai,H
Qaatil ko azaad krna afsosnaak hai,N
Khadim Rizvi inteshaar phelata hai,H
Hafiz Saeed aur Khadim Rizvi Islami dehshat gard hein,H
har amal mein radd e amal hai,N
kuch siyasatdan overseas pakistanion k bary mein bakwas kr rhy hein,H
"Obama ki daadi ko pta tha bura hony wala hai, isliye wo election se 3 din pehly mar gai",H
tumhen mohabbat nahi thi to bhonk dia hota,H
wo hijroun ki tarah chalta hai,H
wo kutia har waqt larti rehti hai,H
islam aman ka mazhab hai,N
Tum eik ehsan faramosh kutia ho,H
Islam har baligh mard ko jihad ka hukam deta hai,H
dushman ne hamla kia to nuqsan uthaye ga,H
Dunya mein aman qaim karo,N
Islami dehshat gardon ko giraftaar kro aur jail mein daal do,H
na-ahal hukumat se kuch b thek se nai chal rha,H
log mery bary mein bakwas krty rehty hein,H
us ne jo kuch mery barey mein kaha wo sb bakwas hai,H
wo nafsiyati mareez hai,H
Tanzania eik ghareeb mulk hai,N
wo hamesha dosron ko bura bhala kehta hai,H
main ghalt baten phelany waly ko qatal kr dun ga,H
waqt aur lehar kisi ka intzaar nahi karte,N
us ne meri zindagi azab bana di hai,H
Are wah kya baat hai!,N
zalimon ka ehtesab zruri hai,H
khawateen ko barabar k haquq do,N
Zardari ne mulk ko bohut loota,H
"wo jis kam ko start krta hai, wahin per nahoosat chaa jati hai",H
usy selfies leny ka bohut shoq hai,N
haaliya barishon se bohut tabahi ho chuki hai,N
"Hafeez Sheikh ko jail mein dalo, pta chal jaye ga paisa kahan hai",H
PM minorities k liay mehfuz mulk bnana chahty hein,N
Imran ziddi wazir e azam hai,H
Ehtesab sirf siyasi mukhalfeen tk mehdood hai,H
VIP culture khatam kr dia gya hai,N
dummy PM ko hum nai manty,H
Molana Diesel election haar gya hai,H
Logon ne Islam k naam per dukanen kholi hui hein,H
FBR k ghaddar officers ka kuch na bigra,H
Boston k log nasal parast hn,H
Deen e Islam mein zabardasti nahi,N
police station mein mulzim per tashaddud kia gya,H
Aurton ki zabardasti shadi ghair Islami hai,N
Tharki larky college k bahir larkiyon ko tung kr rhy thy,H
Christchurch mein firing sirf ka nishana sirf musalman thy,H
"Molana siyasat kren, mazhabi card istemaal na kren",H
India mein khwateen k sath rape cases mein izafa hua hai,H
saarfeen k liye bijli mehengi kr di gai hai,H
Aaj hum sair krny gaye,N
sabiq hukmaranon ne awam k paison per eyashian kein,H
Media per pabandi ka ilzam behooda hai,H
Ghareelo jhagry per biwi ko qatal kr dia gya,H
Hindu mazhab ka naara nah laganey per bachy ko aag lga di gai,H
Olympics 2016 mein sb se zyada gold medals USA ne jeety,N
Railway minister resign kry aur ghar jaye,H
bus stop per khawateen se badtameezi ki jati hai,H
langrey logon ki fouj mein koi jagah nai,H
tum eik fazul aadmi ho,H
Trump ne aaj tk bhonkny k elawa kiya hi kia hai,H
homosexual logon ki wajah se society kharab ho rahi hai,H
"wo hakeer nahi fakeer hai, mera sabar us ne sameta hai",H
Austrians zyada mehmaan nawaz nahi hoty,H
"wo itna ganda hai, nahata b nai hai",H
Ali ki speech ne opponents ko jala k rakh dia,H
